"row","col","Year","dummy","dummy2","fish_habitat","road_density"
166,27,"1940",0.121333788,0.710508837,0.989845991134644,0.000506000011228025
163,64,"1940",0.566177835,0.818005248,0.813148021697998,0.217462003231049
13,105,"1940",0.434033468,1.371910539,0.995000004768372,0
30,64,"2020",0.708145297,1.775938872,0.918712019920349,0
122,69,"2060",0.184108322,1.550022394,0.939873993396759,0
229,132,"2010",0.439892853,0.002060611,0.407364994287491,1.99272394180298
40,30,"1960",0.788278605,0.116457733,0.995000004768372,0
147,36,"2050",0.512101273,0.106225288,0.0649560019373894,2.64863109588623
147,72,"2020",0.176446401,0.927858563,0.270839005708694,4.86621999740601
225,138,"1960",0.904789218,1.50391873,0.446433007717133,3.23189496994019
105,33,"1960",0.930118768,0.386631074,0.983164012432098,0.203731998801231
4,77,"2020",0.356946381,0.573908933,0.995000004768372,0
41,102,"2050",0.661461578,0.25347812,0.995000004768372,0
71,27,"1930",0.421621733,1.090057315,0.994229018688202,0.0121579999104142
113,124,"1940",0.061744177,1.082424255,0.994801998138428,0.003402000060305
179,124,"2040",0.413140087,1.579293458,0.114679001271725,4.4784779548645
76,76,"1970",0.848378743,0.288672742,0.986726999282837,0.0384569987654686
109,77,"1950",0.038878757,0.814997385,0.993125975131989,0.0322550013661385
161,133,"1980",0.694079677,1.34778633,0.363245010375977,2.712641954422
18,37,"1900",0.720613191,1.269081261,1,0
178,117,"2050",0.731647955,1.960229506,0.213718995451927,4.05499982833862
3,98,"2050",0.618940239,1.027294859,0.97834700345993,0.269878000020981
53,7,"2010",0.808549532,1.813263444,0.332127004861832,0
18,81,"1950",0.900340447,1.526368966,0.995000004768372,0
92,11,"1960",0.897490329,1.028480036,0.256466001272202,0.376763999462128
142,36,"1900",0.299400369,1.813718971,1,0
47,19,"2000",0.759981272,1.785200595,0.630096971988678,0
39,112,"1920",0.241072399,1.364271007,0.995000004768372,0
38,72,"1910",0.504359402,1.153277281,0.995000004768372,0
238,121,"2060",0.190378282,0.142529733,0.455713987350464,1.26310205459595
68,127,"1900",0.952082607,1.233938309,1,0
235,73,"2060",0.82181808,1.845954606,0.54712700843811,0.487136006355286
89,38,"2040",0.993096714,0.476567189,0.497334003448486,2.02447700500488
192,46,"2040",0.25232903,0.812297996,1,0
