name,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060
Abruzzi Creek,26327449.9,20073272.11,16716152.25,10513974.99,1835641.725,548920.173,1958.567045,1076.324791,739.7451167,566.2110043,356.2192097,6.87636107,4.147229596,1.257012708,0.330489679,0.034457276,0.014726088
Aldridge Creek,27459609.99,13629772.38,1881027.401,799899.2438,50576.47121,22406.96203,13508.7588,10823.31934,890.8685514,543.673378,419.3166703,86.96621512,81.21924403,43.54370174,38.1276314,29.96363451,2.060207729
Alexander Creek - Lower,19923940.37,15567313.69,8365433.322,7160537.21,1603950.705,129974.0085,39799.07712,35331.71167,4962.447781,1423.767167,769.169961,470.8107916,379.1965186,182.3611728,70.08926697,4.025215304,2.315327548
Alexander Creek - Mid,12888179.96,9324461.784,9312882.23,6529671.62,2271331.302,1069821.279,47824.47139,21767.80024,3083.829006,1636.536679,1425.859353,885.0066338,310.707575,112.5647615,14.66111395,1.855991006,0.077733087
Alexander Creek - Upper,16176340.02,13255727.76,7228126.701,7215763.29,1789556.98,5448.923736,4388.399965,3539.465077,3291.626318,2790.657419,976.0386513,953.5521739,718.0407128,463.5711181,406.4440133,256.3119253,13.41565216
Andy Good Creek,20537790.17,19630168.56,13911174.6,13756364.5,3340586.357,3118563.938,706435.2612,339245.8595,111176.5986,24357.86478,6421.717519,5521.476296,3319.706978,1744.01308,1429.144923,328.8229249,93.23533431
Bingay Creek,24232000.05,16589775.49,11946136.77,6378378.49,4287143.358,3249959.578,1659422.081,1194968.498,941854.7156,495966.2917,254531.9835,145335.9402,140296.87,70759.15165,51353.20158,3257.582006,2915.734093
Bleasdell Creek,15990919.97,413105.4155,125059.4227,86194.45701,26591.79008,8641.787232,8090.055004,2573.783443,602.7615461,542.8961759,199.7575503,172.0204718,63.64011158,55.118636,21.0306755,4.341108682,3.915569092
Boivan Creek,13063029.89,6742545.568,1554239.819,665772.3955,267227.2046,69414.14734,41532.78896,3250.094173,734.5820024,353.4862927,301.3311853,158.7524265,70.43125098,47.96711796,29.46077441,3.095153857,2.650942437
Boivan Creek - South,7662110.004,3922762.434,626793.1592,495032.5062,84134.0248,19940.16652,4161.208422,511.4865061,183.1327398,61.60850902,41.34598021,39.57508684,31.22936541,0.6180833,0.524960119,0.075268717,0.054019357
Brule Creek,25204970.21,7495806.099,5241802.059,2270535.428,2054383.377,986538.3538,312447.8293,263067.8272,23574.71261,12290.34479,3319.93154,272.1713216,69.4257412,38.89467412,16.72160357,12.09169324,7.273858169
Cadorna Creek,45750129.88,5238931.525,5193405.877,2345457.726,399111.4232,365891.0692,159122.3708,9376.159151,2893.141137,304.8569241,7.389039798,5.578701507,2.244734779,0.860823362,0.001882491,0.000807323,0.000459461
Cadorna Creek - South,25831579.74,8567862.953,8557356.417,5315601.25,1907143.924,550514.0889,350444.854,146465.4634,134223.3398,107843.7038,60033.49013,34552.07177,19650.79046,8544.719476,3645.891149,1037.264073,616.4527198
Chauncey Creek,20134000.01,67748.9278,58216.79975,45921.67034,45736.10181,31861.92784,30910.91796,27408.80309,14288.85098,3654.157823,3171.758888,2259.352833,255.4335305,138.5234937,35.11560493,10.90664926,1.521340521
Coal Creek,46880570.21,44317550.72,8504285.172,5527608.649,4795123.226,2224157.426,1967113.738,1333066.002,896465.829,544873.8645,32121.43803,25933.45971,23067.73102,554.3674214,293.9791518,143.2426744,94.51322465
Corbin Creek,17774939.9,5192586.145,4284455.483,2424381.857,815043.6453,617357.6546,437226.1263,126343.6415,120010.6513,103552.6905,99565.37555,10630.66544,813.325727,504.1308931,96.23187601,35.92542172,32.35594603
Crossing Creek,15036859.99,10090833.58,8885689.676,8801807.115,4045893.098,60007.06042,55096.62386,16969.89318,11604.43206,51.13461125,23.95416966,8.651777623,5.034012016,3.430535049,0.322563313,0.069081338,0.031562056
Cummings Creek - Lower,3830979.938,917888.0521,443829.467,108677.0693,65585.08659,23807.57481,13344.90947,4522.936855,4492.209448,66.70004086,33.95093918,21.60298109,4.572780223,1.481066789,0.794631532,0.566515431,0.558652019
Cummings Creek - Upper,25691679.75,20899990.47,14777032.89,10013141.95,5579938.613,5109261.907,242793.9096,187072.2686,13150.04671,4248.194304,273.8982773,232.2773218,59.66871643,25.19231533,14.81509215,4.310653322,2.005111373
Dry Creek,10767169.91,8152939.025,2170824.208,1642491.893,345402.388,159738.7763,108048.4679,102240.4725,57340.01272,46711.97037,34247.24201,30339.80224,11175.72954,26.28117397,10.46066494,5.959950855,3.332188141
Elk Face Unit - E of Elko,21964789.97,18736116.55,7589953.341,7523747.008,5540914.338,1717632.14,1717199.552,683021.6421,313368.1293,64957.57924,8500.712416,2380.429453,2259.128758,409.6418522,389.9722479,30.23402776,15.79363894
Elk Face Unit - N of Cadorna Cr,19121240.16,1917372.885,1381569.476,1173296.225,367341.3904,21944.53933,1786.627795,513.2086646,353.8569532,220.6217163,158.2084943,88.63142243,0.95230837,0.87162279,0.7558824,0.752023468,0.446216569
Elk Face Unit - N of Elkford 1,3232839.929,1096648.819,168458.7462,49354.05726,18739.27652,11671.23627,4298.012609,1119.841011,207.8523711,26.03454937,5.819337435,5.149797173,4.842641138,2.622769518,1.226766658,0.915298613,0.847368633
Elk Face Unit - N of Elkford 2,6994599.902,2206494.555,261799.6447,127666.1731,54616.29549,44548.68401,42660.13356,19850.13676,18426.67077,7070.453228,3173.933164,3018.721383,1289.588395,1278.773958,842.8913381,840.0458164,726.7853255
Elk Face Unit - N of Forsyth Cr,13626000.02,11031223.02,4364260.888,3693482.682,188836.0527,94880.29708,73550.21295,71559.15817,33919.32297,11296.27967,233.7803131,20.04004693,15.26834032,14.21596793,0.486654015,0.077954649,0.048033848
Elk Face Unit - NE of Elkford,-283099.8962,-135070.6911,-103048.0909,-99579.28406,-50288.68366,-17459.61576,-4535.733948,-4197.943299,-541.4048661,-90.08610174,-55.45771577,-23.64805411,-16.70322016,-15.60301427,-12.07504271,-5.74597626,-1.148891882
Elk Face Unit - NE of Fernie,13230809.95,7120187.245,1511458.505,452600.0118,174839.2593,24770.09843,12183.88403,8005.721723,5833.56204,807.9248879,70.16154786,51.36631339,6.657298627,0.021154613,0.007210756,0.002895233,0.001831856
