"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"AMISK RIVER - 12010102","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ATHABASCA ABOVE FIREBAG RIVER - 17070101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.452693239041714","2.9053864461166898","4.3580796766880487","6.8964458187032678","10.823345849800374","14.29319033209838","16.47205895984639","20.98888853125732","23.989180710395622","28.339067625932852"
"ATHABASCA ABOVE HORSE RIVER - 17050401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ATHABASCA ABOVE HOUSE RIVER - 17050201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.015294786905011159","0.030589578769487872","0.045884365670032602","0.061179152496232646","0.076473934463534329","0.076473934463534329","0.076473934463534329","0.076473934463534329","0.076473934463534329","0.076473934463534329"
"ATHABASCA ABOVE TAWATINAW RIVER - 17050101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ATHABASCA RIVER ABOVE FREEMAN RIVER - 17010602","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ATHABASCA RIVER ABOVE WHITECOURT - 17010501","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ATHABASCA RIVER AND ROURKE CREEK - 17010703","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ATHABASCA RIVER AND SALTWATER CREEK - 17010701","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"BEAVER RIVER - 17070102","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.47959816455841087","0.95919632911682495","1.4387944539388","1.9183926582336417","2.3979907035827668","8.4879795915136764","11.866485913594559","24.337705771128341","29.515503088633221","34.819422403971345"
"BERLAND RIVER - 17010301","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"BLACKSTONE RIVER - 11010403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"BOCQUENE RIVER - 24010105","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"BRAZEAU CANAL - 11010405","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"BRAZEAU RIVER - 11010401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"BUCKTON CREEK - 18060502","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.20199172441349464","0.93169549454090173","1.1493330667185226"
