name,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,2060
Abruzzi Creek,26327449.9,13163725.25,6581862.668,3290931.423,1645466.063,822733.7636,411367.7569,205684.4239,102842.583,51421.93908,25710.99248,12856.22186,6428.869274,3214.687108,1607.764917,804.5282142,403.1778348
Aldridge Creek,27459609.99,13729805.18,6864903.16,3432451.758,1716226.849,858114.1195,429057.6907,214528.989,107264.6061,53632.34253,26816.45233,13408.44311,6704.842693,3352.434914,1677.09401,839.5440785,420.0913079
Alexander Creek - Lower,19923940.37,9961970.674,4980986.005,2490493.9,1245247.114,622623.9005,311312.9146,155656.6089,77829.17098,38915.19668,19458.26581,9729.747149,4865.58298,2433.700458,1217.194333,609.5294562,304.8813648
Alexander Creek - Mid,12888179.96,6444090.686,3222045.879,1611023.242,805511.7736,402755.9631,201378.047,100689.0946,50344.63059,25173.23844,12587.50854,6294.542038,3148.222492,1574.791053,787.4267598,393.8568744,197.2680236
Alexander Creek - Upper,16176340.02,8088170.995,4044086.493,2022043.983,1011022.223,505511.4979,252756.5228,126378.301,63189.17135,31594.7744,15798.20571,7899.352857,3950.307697,1975.654152,988.185073,494.9961472,247.9834541
Andy Good Creek,20537790.17,10268895.31,5134448.598,2567224.738,1283612.88,641806.5062,320903.8571,160451.9301,80226.56975,40113.76062,20056.90638,10028.92751,5015.10649,2508.449139,1254.758976,627.4532174,314.2441603
Bingay Creek,24232000.05,12116000.23,6058000.186,3029000.333,1514500.501,757250.7024,378625.8565,189313.4073,94657.11206,47329.10875,23665.14168,11833.14687,5917.19001,2958.72741,1479.872128,740.4832245,371.1886072
Bleasdell Creek,15990919.97,7995460.907,3997730.888,1998866.352,999433.2947,499717.5166,249858.8236,124930.2175,62465.91708,31233.2072,15616.83973,7809.415666,3904.890158,1952.800943,976.9856153,488.9864997,245.3555032
Boivan Creek,13063029.89,6531515.736,3265758.374,1632879.825,816440.2692,408220.4516,204111.0474,102055.8949,51028.94158,25514.97529,12758.48165,6379.863818,3190.624857,1595.593621,798.6703417,400.0177645,200.5221672
Boivan Creek - South,7662110.004,3831055.91,1915528.765,957764.7558,478882.6673,239441.8854,119721.5076,59861.27879,29931.48358,14965.81133,7483.851537,3742.333474,1871.933125,936.1382735,468.8030287,234.6801104,118.1437257
Brule Creek,25204970.21,12602486.05,6301243.225,3150622.204,1575311.301,787655.6749,393827.9058,196914.0544,98457.78584,49229.04808,24614.93383,12307.98157,6154.697518,3078.219865,1539.79422,770.5224974,386.1278033
Cadorna Creek,45750129.88,22875065.41,11437533.18,5718767.221,2859383.684,1429692.667,714846.5768,357423.4691,178712.2675,89356.93798,44679.41667,22340.155,11170.18484,5586.036486,2793.46226,1396.97212,699.0729174
Cadorna Creek - South,25831579.74,12915789.92,6457895.547,3228948.51,1614474.775,807238.0208,403619.1258,201809.8559,100905.21,50453.03101,25226.89617,12614.07865,6307.828541,3154.072509,1577.294809,789.3016376,395.2342159
Chauncey Creek,20134000.01,10067000.03,5033500.442,2516751.118,1258375.86,629188.8009,314594.8104,157297.7435,78649.7036,39325.13087,19662.98985,9831.690272,4916.290964,2458.772625,1229.897921,615.8174949,308.5181519
Coal Creek,46880570.21,23440285.67,11720143.32,5860072.066,2930036.161,1465018.655,732510.1823,366255.281,183128.4683,91565.01373,45783.30491,22891.88497,11446.66326,5723.610026,2862.716348,1432.183875,716.8566884
Corbin Creek,17774939.9,8887469.99,4443735.036,2221868.216,1110934.596,555468.0832,277734.34,138867.8717,69434.17316,34717.75712,17359.85424,8680.163576,4340.700306,2170.738706,1086.192122,543.2620885,272.0631372
Crossing Creek,15036859.99,7518430.464,3759215.31,1879608.053,939804.0593,469902.9498,234951.8184,117476.6864,58738.4324,29369.63605,14685.08574,7343.142154,3671.731304,1836.065084,918.7709987,459.492345,230.7365984
Cummings Creek - Lower,3830979.938,1915490.714,957745.7424,478873.2255,239436.7339,119718.3974,59859.49032,29930.57014,14965.41898,7483.605329,3741.812378,1871.843342,936.7601222,469.1604043,234.6709442,117.5013354,59.53082818
Cummings Creek - Upper,25691679.75,12845840.83,6422921.113,3211461.287,1605730.848,802865.7628,401433.2792,200717.2872,100359.242,50179.63728,25090.15046,12545.29353,6272.771973,3136.68369,1568.548019,784.3979924,392.6665693
Dry Creek,10767169.91,5383585.54,2691793.493,1345897.345,672948.7587,336474.9576,168238.4778,84119.64247,42060.81392,21031.34571,10515.99279,5258.320013,2630.012578,1315.427626,658.0600606,329.3204819,165.5258859
Elk Face Unit - E of Elko,21964789.97,10982395.47,5491198.134,2745599.935,1372800.605,686400.9522,343201.2161,171601.4999,85800.86092,42900.44717,21451.19364,10726.25003,5363.701537,2682.842993,1342.165583,671.492737,336.1749058
Elk Face Unit - N of Cadorna Cr,19121240.16,9560620.207,4780310.141,2390155.157,1195078.191,597539.4689,298769.7642,149385.6784,74693.38921,37347.16668,18674.21767,9337.639496,4669.083872,2335.263324,1168.21188,585.0342675,292.6838012
Elk Face Unit - N of Elkford 1,3232839.929,1616420.943,808210.9616,404105.9131,202053.112,101026.7603,50514.03865,25257.4377,12628.77355,6315.154926,3157.642882,1579.14641,789.7823161,395.5529331,197.8507673,99.55913048,50.11615665
Elk Face Unit - N of Elkford 2,6994599.902,3497300.562,1748651.132,874326.2938,437163.6922,218582.8223,109291.4421,54646.30829,27324.00042,13662.32941,6831.309652,3416.342672,1709.145241,854.6435087,427.9066428,214.5437791,107.8890205
Elk Face Unit - N of Forsyth Cr,13626000.02,6813000.261,3406500.427,1703250.663,851626.0802,425813.5894,212907.1231,106453.7652,53227.85589,26614.86636,13307.96317,6654.479266,3327.477267,1664.042167,832.6680167,416.6255647,208.3677177
Elk Face Unit - NE of Elkford,-283099.8962,-141549.1917,-70773.67625,-35386.81827,-17693.19602,-8845.632198,-4422.073941,-2210.968299,-1104.686867,-552.193512,-275.5864707,-137.4845699,-68.55672725,-33.84921042,-16.47372715,-7.495401304,-2.794025407
Elk Face Unit - NE of Fernie,13230809.95,6615405.213,3307702.884,1653851.741,826926.8282,413463.5751,206731.8815,103366.0344,51683.1496,25842.07728,12921.37434,6461.447361,3231.614783,1616.328033,808.8786531,405.2856744,203.0324925
Elk Face Unit - NE of Sparwood,-2319639.893,-1159819.546,-579908.9163,-289953.562,-144976.1506,-72488.03635,-36243.44668,-18121.06794,-9060.184267,-4529.650723,-2264.721033,-1131.847655,-565.7006578,-282.7752505,-141.3170467,-70.6091395,-34.52974764
Elk Face Unit - S of Elkford,-3036500.006,-1518249.604,-759124.1609,-379561.7487,-189780.3306,-94890.05369,-47445.02236,-23721.98411,-11860.65043,-5929.906689,-2964.718007,-1481.560339,-740.6328147,-369.5985852,-183.8291353,-91.15118197,-44.79508799
Elk Face Unit - S of Elko,-5174609.924,-2587304.005,-1293651.771,-646825.1982,-323411.6539,-161705.3856,-80851.70486,-40425.15488,-20211.73067,-10105.57268,-5051.960898,-2525.028688,-1262.127383,-630.151893,-314.1924461,-156.4308075,-77.41057074
Elk Face Unit - SE of Fernie,15966649.98,7983325.443,3991663.149,1995832.188,997916.5555,498959.247,249480.4804,124740.4682,62371.04936,31185.59817,15593.5829,7797.229864,3898.654877,1950.269581,975.4552262,487.7387231,244.7609357
Elk Face Unit - SW of Fernie,33136120.15,16568061.02,8284030.943,4142015.864,2071008.422,1035505.184,517753.5374,258876.8354,129438.7447,64719.69152,32359.86304,16180.84154,8090.530096,4045.697644,2023.789835,1012.623733,506.809593
Elk Face Unit - SW of Sparwood,-315879.9866,-157939.0417,-78968.62906,-39483.64889,-19741.09019,-9870.245048,-4934.763139,-2467.25829,-1233.013093,-616.414505,-307.2992135,-152.6813015,-75.93759355,-37.1537478,-17.83743041,-7.949508345,-3.382962514
Erickson Creek,5003350.012,2501675.758,1250838.716,625419.8168,312710.5809,156355.6242,78178.30826,39089.26133,19544.88638,9773.256365,4887.030394,2443.629614,1222.654379,611.821089,305.9549177,153.3122904,77.52465951
Ewin Creek,19399930.09,9699965.157,4849983.394,2424991.872,1212496.424,606249.1524,303124.9646,151562.5882,75781.43572,37890.84708,18945.57887,9473.584247,4737.693388,2369.267771,1185.630721,593.001038,297.0756107
Ewin Creek - North,11829079.96,5914540.395,2957270.706,1478636.079,739318.4085,369660.0612,184830.1531,92415.54897,46207.81823,23104.45181,11553.20007,5777.402498,2889.327363,1444.846135,723.3398243,362.4968434,181.4101062
Fairy Creek,17562159.99,8781080.381,4390540.426,2195270.395,1097635.91,548818.7337,274410.1014,137205.7027,68603.49322,34302.21856,17151.71671,8576.289321,4288.373899,2144.836907,1073.187264,537.5371937,269.5706251
Fording River - Lower,4675670.02,2337835.167,1168917.66,584459.1812,292230.0019,146115.0186,73057.96296,36529.19465,18265.00143,9132.841084,4567.38778,2284.200681,1142.50095,571.6083299,286.5100269,143.3297942,72.16212146
Fording River - Upper,15461019.93,7730510.35,3865255.845,1932628.899,966315.1389,483158.0166,241579.418,120790.3921,60396.10456,30198.47509,15099.25073,7550.074357,3775.616771,1888.179821,944.8818159,472.8493676,237.1566123
Forsyth Creek - Lower,14091440.01,7045720.862,3522860.796,1761430.582,880715.5825,440357.9698,220179.6154,110089.8547,55045.23412,27522.80588,13762.28779,6881.918476,3441.792099,1721.814321,861.0576619,430.6110199,215.9603252
Forsyth Creek - Upper,58199130.29,29099566.06,14549783.78,7274892.286,3637447.018,1818724.457,909362.6027,454681.637,227341.1678,113670.8347,56835.88458,28418.146,14209.53869,7105.513513,3552.837894,1777.260249,888.6535153
Gardner Creek,10564370.07,5282185.988,2641093.753,1320547.012,660273.7688,330137.0943,165069.3738,82534.99831,41267.86662,20634.34947,10317.52853,5159.327004,2579.937566,1290.859052,645.916283,323.9579379,162.5725226
Grace Creek,2975560.059,1487780.301,743890.7046,371945.871,185973.6543,92987.15476,46493.69303,23246.91909,11624.31603,5813.058408,2906.593943,1453.705886,727.0939524,363.6850817,182.3819354,91.48449741,46.09271061
Grave Creek,7099530.103,3549765.289,1774883.052,887442.1115,443721.9977,221861.5708,110931.3456,55465.78829,27733.70859,13866.98304,6933.49512,3467.382245,1733.721754,867.6601784,434.819426,218.004182,109.2356193
Greenhills Creek,5344650.018,2672325.143,1336163.549,668081.7896,334041.3786,167021.2439,83511.59096,41756.5363,20878.60441,10439.32428,5220.397274,2610.920158,1306.025138,653.6991324,326.9658138,164.2236301,83.07014546
Harmer Creek,4573330.151,2286665.656,1143333.285,571667.5005,285834.5341,142917.8131,71459.37969,35729.84331,17865.89399,8933.142635,4466.793832,2233.852157,1117.17666,559.1241174,279.5829764,140.3811704,70.94004568
Hartley Creek,13676659.99,6838330.083,3419165.115,1709583.383,854791.7529,427396.4745,213699.2239,106850.4887,53425.80828,26713.78939,13357.80792,6679.764674,3340.155157,1670.990638,835.867949,418.228127,209.8927265
Henretta Creek,24495979.86,12247990.46,6123996.165,3061998.847,1530999.904,765500.3531,382750.4958,191375.575,95688.377,47844.63862,23922.75397,11962.23757,5982.028206,2991.222225,1496.110155,748.1450943,374.8597309
Hornickel Creek,1511479.907,755740.823,377870.5731,188935.7324,94468.36193,47234.55646,23618.14068,11809.26174,5904.962121,2953.450391,1476.868374,738.714121,369.9968918,185.5695372,93.74735142,47.70261831,24.46827911
Kilmarnock Creek,19867780.1,9933890.591,4966946.266,2483473.646,1241737.417,620869.3391,310434.899,155218.2877,77609.31545,38804.87519,19402.61761,9701.747345,4851.153565,2425.908241,1213.700894,607.6439632,304.8023233
Lake Mountain & Clode Creeks,6455060.101,3227530.436,1613765.4,806883.3829,403442.4046,201721.837,100861.5157,50431.52457,25216.22708,12608.52599,6304.777151,3153.329895,1576.671288,789.0418529,394.8270704,197.6605049,99.69115579
Leach Creek,33639479.84,16819740.02,8409870.791,4204936.036,2102468.532,1051235.035,525617.9228,262809.1032,131404.5808,65703.25585,32852.22678,16426.3638,8213.695901,4107.767426,2054.737722,1027.924615,514.0326578
Line Creek,25978780.3,12989390.8,6494696.335,3247348.411,1623674.374,811837.9795,405919.598,202959.8627,101480.8392,50740.93635,25370.75757,12685.42849,6343.14406,3172.357698,1586.639293,793.4833304,396.8015891
