"name","1900","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010","2020","2030","2040","2050","2060"
"Abruzzi Creek","26327449.896240234","30220640.063476562","29689820.104980469","26935939.901733398","23359299.926757812","28524319.909667969","31635389.764404297","32027500.018310547","32542930.316162109","28013689.831542969","33447850.250244141","26327449.896240234","30009589.834594727","31650510.491943359","34766607.904052734","32551158.697509766","32959771.051025391"
"Aldridge Creek","27459609.985351562","31419759.832763672","32520560.021972656","29307749.810791016","23589380.047607422","33638309.991455078","36316969.854736328","37532749.725341797","39769169.873046875","30962290.075683594","38087829.797363281","27459609.985351562","34822361.260986328","36218630.706787109","41172490.777587891","36833027.813720703","39237924.090576172"
"Alexander Creek - Lower","19923940.374755859","29659489.770507812","33973080.224609375","27926479.998779297","19861830.163574219","32650309.967041016","37152469.525146484","35469039.935302734","35841019.781494141","27220599.871826172","30745260.260009766","19923940.374755859","29091589.733886719","29476321.057128906","38291462.347412109","29423291.394042969","34549167.401123047"
"Alexander Creek - Mid","12888179.956054688","16877279.986572266","18687030.047607422","16222559.924316406","12668549.829101562","18163769.940185547","20184389.819335938","19749980.181884766","20106919.787597656","16050809.948730469","17803160.015869141","12888179.956054688","17562160.223388672","17736971.014404297","21547681.976318359","17589995.770263672","20011170.190429688"
"Alexander Creek - Upper","16176340.020751953","20082250.006103516","21956960.180664062","19473920.086669922","15878169.964599609","21517739.923095703","23236190.209960938","23196219.989013672","23806429.614257812","19541549.932861328","21655859.899902344","16176340.020751953","21128455.194091797","21444532.861328125","25506469.866943359","21333125.158691406","23528549.261474609"
"Andy Good Creek","20537790.167236328","28624660.028076172","31016909.851074219","27424919.854736328","24280660.064697266","29653829.925537109","33773100.018310547","31057599.908447266","31882850.085449219","26149380.230712891","26862819.958496094","20537790.167236328","29575352.83203125","29580125.933837891","34432459.161376953","29058736.920166016","33886728.186035156"
"Bingay Creek","24232000.054931641","29783000.067138672","28230309.936523438","24677450.140380859","19412520.031738281","27880289.965820312","31497650.152587891","32905340.234375","34309010.021972656","27230069.989013672","33534390.380859375","24232000.054931641","29296420.178222656","30370040.753173828","35908858.636474609","31306579.016113281","33881184.326171875"
"Bleasdell Creek","15990919.970703125","18450510.064697266","18377259.918212891","16565500.024414062","13833090.008544922","18165709.936523438","20100700.085449219","20659910.113525391","21354250.122070312","17447860.083007812","21188319.799804688","15990919.970703125","19186935.748291016","19960545.843505859","22421391.094970703","20530011.102294922","21415797.149658203"
"Boivan Creek","13063029.888916016","17013120.202636719","16697970.1171875","13979120.013427734","10116229.968261719","16161399.932861328","18340410.150146484","19348809.936523438","19874270.068359375","15599649.920654297","19215069.830322266","13063029.888916016","16177473.394775391","16489288.830566406","20776751.055908203","16938857.177734375","18991443.920898438"
"Boivan Creek - South","7662110.0036621094","9706049.9694824219","9636270.0927734375","8211069.8913574219","6178650.0427246094","9226969.9768066406","10420090.100097656","10919299.951171875","11167749.951171875","8940740.0634765625","10730300.073242188","7662110.0036621094","9448235.9252929688","9513224.0356445312","11747390.826416016","9725618.9392089844","10896996.081542969"
"Brule Creek","25204970.208740234","34051080.017089844","33379110.101318359","27716900.012207031","19813309.936523438","32031350.128173828","36491480.279541016","38355359.936523438","38975020.043945312","30692730.303955078","37268720.288085938","25204970.208740234","31818253.308105469","32491748.742675781","40674472.082519531","32456040.991210938","37069505.804443359"
"Cadorna Creek","45750129.8828125","53119969.989013672","52727870.135498047","47136659.942626953","40000179.992675781","50448000.457763672","56779330.130004883","57351519.53125","58581169.69909668","48791730.163574219","59535110.217285156","45750129.8828125","53351586.138916016","55943559.368896484","61942765.972900391","57221554.626464844","58533399.462890625"
"Cadorna Creek - South","25831579.736328125","29380740.057373047","28999259.912109375","26440150.067138672","23001689.996337891","28396819.927978516","30950550.231933594","31759309.942626953","32400770.092773438","27687900.183105469","32876210.25390625","25831579.736328125","29988058.044433594","31386225.0","34541470.288085938","32315857.598876953","33037389.440917969"
